,Team,FF,FR,FR_TD,Rec_FUM,Rush_FUM,Years
577,Rams,13,12,1,2,4,2018
578,Chiefs,23,12,1,3,6,2018
579,Jaguars,7,6,0,0,5,2018
580,Colts,15,11,0,7,5,2018
581,Texans,20,14,1,6,6,2018
582,Titans,12,6,0,4,2,2018
583,Packers,10,8,0,3,6,2018
584,Lions,10,7,0,2,5,2018
585,Broncos,13,10,0,3,6,2018
586,Cowboys,14,11,1,5,7,2018
587,Browns,18,14,0,8,6,2018
588,Bengals,10,6,2,3,3,2018
589,Bears,18,9,1,4,5,2018
590,Panthers,13,9,1,2,9,2018
591,Bills,21,11,0,4,10,2018
592,Ravens,9,5,3,4,2,2018
593,Falcons,8,4,1,1,10,2018
594,Redskins,16,9,0,3,8,2019
595,Buccaneers,21,16,4,5,6,2019
596,Seahawks,19,16,1,7,5,2019
597,49ers,23,15,2,7,9,2019
598,Chargers,6,3,0,1,7,2019
599,Steelers,22,18,2,3,14,2019
600,Cardinals,19,10,0,5,3,2019
601,Eagles,15,9,2,3,8,2019
602,Jets,10,9,2,2,8,2019
603,Giants,9,6,1,3,8,2019
604,Saints,11,10,1,2,7,2019
605,Patriots,15,11,2,6,5,2019
606,Vikings,19,14,1,9,3,2019
607,Dolphins,9,3,0,2,8,2019
608,Raiders,9,6,0,2,3,2019
609,Rams,15,11,2,5,8,2019
610,Chiefs,13,7,2,2,6,2019
611,Jaguars,13,9,1,2,6,2019
612,Colts,14,8,0,4,4,2019
613,Texans,14,10,0,1,4,2019
614,Titans,11,9,2,3,5,2019
615,Packers,12,7,0,4,10,2019
616,Lions,16,11,1,5,7,2019
617,Broncos,9,6,1,5,1,2019
618,Cowboys,14,10,1,3,7,2019
619,Browns,12,6,0,3,10,2019
620,Bengals,9,5,0,4,5,2019
621,Bears,12,9,0,4,5,2019
622,Panthers,8,7,1,0,5,2019
623,Bills,16,9,0,9,6,2019
624,Ravens,15,12,4,6,5,2019
625,Falcons,17,8,1,3,10,2019
626,Football ,14,7,1,1,7,2020
627,Buccaneers,15,10,0,4,5,2020
628,Seahawks,14,8,0,2,6,2020
629,49ers,13,8,0,7,8,2020
630,Chargers,6,7,0,2,8,2020
631,Steelers,13,9,0,4,6,2020
632,Cardinals,15,10,0,1,5,2020
633,Eagles,14,11,1,3,5,2020
634,Jets,17,9,0,4,11,2020
635,Giants,14,11,1,8,10,2020
636,Saints,7,8,0,0,7,2020
637,Patriots,5,4,1,2,2,2020
638,Vikings,11,7,0,2,5,2020
639,Dolphins,16,10,2,5,5,2020
640,Raiders,8,5,0,3,2,2020
641,Rams,12,8,1,1,7,2020
642,Chiefs,13,6,0,8,1,2020
643,Jaguars,12,5,0,4,4,2020
644,Colts,14,10,0,6,4,2020
645,Texans,9,6,0,1,4,2020
646,Titans,12,8,1,5,10,2020
647,Packers,12,7,1,5,3,2020
648,Lions,15,5,0,7,5,2020
649,Broncos,12,6,0,4,6,2020
650,Cowboys,16,12,2,2,9,2020
651,Browns,17,10,0,4,12,2020
652,Bengals,10,6,0,6,4,2020
653,Bears,15,8,1,4,6,2020
654,Panthers,14,15,3,3,6,2020
655,Bills,15,11,1,5,5,2020
656,Ravens,25,12,3,11,7,2020
657,Falcons,17,9,0,4,8,2020
658,Football ,9,7,0,5,6,2021
659,Buccaneers,16,12,0,8,4,2021
660,Seahawks,9,7,0,1,5,2021
661,49ers,22,11,0,9,11,2021
662,Chargers,19,10,1,5,4,2021
663,Steelers,18,9,0,7,7,2021
664,Cardinals,21,14,1,6,6,2021
665,Eagles,13,4,3,3,6,2021
666,Jets,13,7,0,5,10,2021
667,Giants,12,7,0,4,3,2021
668,Saints,13,7,0,4,4,2021
669,Patriots,11,7,0,3,6,2021
670,Vikings,13,8,0,3,4,2021
671,Dolphins,14,12,2,8,6,2021
672,Raiders,13,9,0,3,7,2021
673,Rams,15,6,0,4,6,2021
674,Chiefs,18,14,2,5,10,2021
675,Jaguars,9,2,0,3,4,2021
676,Colts,18,14,1,4,10,2021
677,Texans,16,8,0,4,10,2021
678,Titans,13,6,1,7,4,2021
679,Packers,10,8,0,0,5,2021
680,Lions,10,8,0,6,3,2021
681,Broncos,6,6,0,0,4,2021
682,Cowboys,13,8,1,4,3,2021
683,Browns,12,6,1,4,6,2021
684,Bengals,17,8,1,6,6,2021
685,Bears,14,8,1,2,5,2021
686,Panthers,14,7,0,2,9,2021
687,Bills,12,11,0,4,7,2021
688,Ravens,8,6,0,1,2,2021
689,Falcons,14,8,0,3,8,2021
